일련번호,인명피해수,재산피해금액,소방서명,서센터명,소방지역대명,화재발생일자,화재발생시간,접수일자,접수시각,출동일자,출동시각,현장도착일자,현장도착시각,초진일자,초진시각,완진일자,완진시간,출동소요시간,화재진압시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,시군구명,읍면동명,시설장소소분류명,화재유형명,발화지점,발화원인,발화요인대분류명,전체인력수합계,동원장비수,날씨,온도,습도,시간단위풍속,시간단위풍향,특보내용
1,0,0,강릉소방서,경포119안전센터,,20110122,233500,20110122,233511,20110122,233615,20110122,235315,20110123,121115,20110123,1115,1700,1800,9,9,0,강릉시,죽헌동,사유림,임야,산정상,기타,방화의심,37,8,맑음,-1,30,45,8,
2,0,184330,양양소방서,하조대119안전센터,,20110131,181300,20110131,181311,20110131,181409,20110131,183024,20110201,94538,20110201,103016,1615,155952,43,13,0,양양군,현남면,사유림,임야,산아래,기타,부주의,1872,71,맑음,1,10,225,8,건조경보
3,0,0,강릉소방서,경포119안전센터,,20110201,210700,20110201,210710,20110201,210826,20110201,211500,20110201,102300,20110201,223800,634,12300,7,6,0,강릉시,대전동,사유림,임야,산정상,기타,방화의심,184,15,맑음,1,550,135,4,
4,0,4864,홍천소방서,서석119안전센터,내촌119지역대,20110211,175000,20110211,175032,20110211,175220,20110211,181500,20110211,74100,20110211,202000,2240,20500,37,37,7,홍천군,내촌면,국유림,임야,산중턱,입산자실화,기타,171,9,구름많음,-2,29,225,4,
5,0,50,원주소방서,흥업119안전센터,귀래119지역대,20110212,61800,20110212,61836,20110212,62010,20110212,64029,20110212,82038,20110212,103038,2019,35009,20,20,8,원주시,귀래면,사유림,임야,산중턱,모닥불,부주의,94,9,구름많음,-6,44,225,4,
6,0,440,원주소방서,태장119안전센터,,20110226,164200,20110226,164234,20110226,164353,20110226,164901,20110226,52601,20110226,172726,508,3825,8,2,0,원주시,태장동,사유림,임야,산정상,담뱃불,부주의,46,8,맑음,14,23,180,4,
7,0,600,영월소방서,영월119안전센터,,20110309,131800,20110309,131855,20110309,131916,20110309,132916,20110309,50016,20110309,200016,1000,63100,9,9,8,영월군,영월읍,국유림,임야,산아래,기타,부주의,204,26,맑음,1,19,225,8,
8,0,0,횡성소방서,우천119안전센터,,20110311,134200,20110311,134249,20110311,134334,20110311,140409,20110311,21746,20110311,151737,2035,11328,17,10,0,횡성군,우천면,사유림,임야,산정상,입산자실화,부주의,214,10,맑음,5,43,225,4,
9,0,64,영월소방서,영월119안전센터,,20110314,193500,20110314,193519,20110314,193540,20110314,195222,20110314,90022,20110314,230622,1642,31400,9,9,7,영월군,영월읍,사유림,임야,산아래,미상,미상,116,5,맑음,4,67,45,4,
10,0,3264,홍천소방서,홍천119안전센터,,20110318,115800,20110318,115807,20110318,115900,20110318,120327,20110318,123300,20110318,124800,427,4433,6,6,0,홍천군,홍천읍,사유림,임야,산정상,입산자실화,기타,88,15,맑음,9,21,315,4,
11,0,0,춘천소방서,화천119안전센터,,20110324,125600,20110324,125625,20110324,125721,20110324,130321,20110324,15021,20110324,135021,600,4700,46,6,0,화천군,화천읍,사유림,임야,산아래,논/밭두렁,부주의,102,8,맑음,4,47,90,8,
12,0,0,정선소방서,조양119안전센터,,20110401,105200,20110401,105215,20110401,105300,20110401,110300,20110401,122020,20110401,133000,1000,22700,8,8,12,정선군,정선읍,사유림,임야,산아래,논/밭두렁,부주의,160,19,맑음,14,24,315,4,
13,0,1485,춘천소방서,강촌119안전센터,,20110405,110400,20110405,110414,20110405,110536,20110405,112736,20110405,120036,20110405,120036,2200,3300,40,25,0,춘천시,남면,사유림,임야,산중턱,미상,미상,67,3,맑음,16,47,225,4,
14,0,0,철원소방서,동송119안전센터,,20110406,144100,20110406,144134,20110406,144257,20110406,144557,20110406,24857,20110406,155057,300,10500,13,2,0,철원군,철원읍,사유림,임야,산아래,성묘객,부주의,294,11,맑음,13,41,90,8,
15,0,0,강릉소방서,내곡119안전센터,,20110406,162300,20110406,162315,20110406,162400,20110406,164400,20110406,45500,20110406,170000,2000,1600,18,17,0,강릉시,왕산면,사유림,임야,산정상,담뱃불,부주의,160,20,맑음,17,13,270,4,건조주의보
16,0,0,춘천소방서,양구119안전센터,,20110409,123000,20110409,123036,20110409,123138,20110409,124438,20110409,10128,20110409,130401,1300,1923,50,15,0,양구군,동면,사유림,임야,산아래,미상,미상,68,5,맑음,19,14,270,17,
17,0,0,춘천소방서,양구119안전센터,,20110409,125200,20110409,125248,20110409,125348,20110409,130007,20110409,14000,20110409,140000,619,5953,48,17,7,양구군,남면,사유림,임야,산아래,성묘객,기타,94,3,맑음,18,16,270,17,
18,0,0,춘천소방서,화천119안전센터,,20110410,121300,20110410,121316,20110410,121343,20110410,122343,20110410,125714,20110410,125714,1000,3331,45,10,0,화천군,하남면,사유림,임야,산아래,건물,부주의,63,7,구름많음,18,28,270,17,
19,0,6982,양양소방서,양양119안전센터,,20110413,153200,20110413,153237,20110413,153728,20110413,163029,20110413,45819,20110413,175000,5301,11931,24,7,0,양양군,손양면,사유림,임야,산아래,미상,미상,936,17,맑음,23,11,225,8,건조주의보
20,0,0,삼척소방서,도계119안전센터,,20110413,155500,20110413,155538,20110413,155641,20110413,160641,20110413,44541,20110413,171041,1000,10400,27,9,0,삼척시,도계읍,사유림,임야,산중턱,입산자실화,부주의,209,18,맑음,21,15,270,4,
21,0,0,영월소방서,주천119안전센터,,20110413,164700,20110413,164719,20110413,164740,20110413,172245,20110413,53045,20110413,175045,3505,2800,44,18,0,영월군,수주면,사유림,임야,산중턱,쓰레기소각장,부주의,174,18,맑음,13,36,315,4,
22,0,99,춘천소방서,석사119안전센터,,20110413,234000,20110413,234046,20110413,234138,20110413,235538,20110414,124038,20110414,4038,1400,4500,10,8,0,춘천시,신동면,사유림,임야,산중턱,미상,미상,111,3,맑음,5,59,180,4,
23,0,0,춘천소방서,강촌119안전센터,,20110416,181400,20110416,181413,20110416,181558,20110416,182800,20110416,63000,20110416,183000,1202,200,30,13,0,춘천시,남산면,사유림,임야,산정상,담뱃불,부주의,72,6,맑음,11,39,0,4,건조주의보
24,0,115,인제소방서,인제119안전센터,남면119지역대,20110417,123500,20110417,123520,20110417,124130,20110417,124510,20110417,15015,20110417,142000,340,13450,47,27,12,인제군,남면,사유림,임야,산중턱,미상,부주의,198,7,맑음,11,58,135,,
25,1,0,횡성소방서,둔내119안전센터,,20110417,142200,20110417,142209,20110417,142248,20110417,143245,20110417,30830,20110417,150837,957,3552,24,24,6,횡성군,청일면,사유림,임야,산아래,쓰레기소각장,부주의,154,10,맑음,18,22,225,4,
26,0,0,횡성소방서,둔내119안전센터,청일지역대,20110420,141200,20110420,141240,20110420,141402,20110420,142719,20110420,22910,20110420,155300,1317,12541,30,21,11,횡성군,청일면,사유림,임야,산아래,쓰레기소각장,부주의,173,14,맑음,17,30,225,8,
27,0,0,철원소방서,동송119안전센터,,20110514,141800,20110514,141802,20110514,141815,20110514,142200,20110514,24600,20110514,151100,345,4900,15,4,0,철원군,동송읍,사유림,임야,산아래,쓰레기소각장,부주의,54,6,맑음,23,0,0,,
28,0,0,삼척소방서,도계119안전센터,하장119지역대,20110608,132200,20110608,132257,20110608,132441,20110608,133541,20110608,31041,20110608,153141,1100,15600,32,32,12,삼척시,하장면,국유림,임야,산중턱,담뱃불,부주의,48,7,맑음,27,31,315,4,
29,0,0,양양소방서,양양119안전센터,,20110608,174200,20110608,174243,20110608,174332,20110608,180232,20110608,60532,20110608,182532,1900,2300,14,13,0,양양군,강현면,사유림,임야,평지,기타,부주의,15,5,구름많음,20,54,135,4,
30,0,0,삼척소방서,봉황119안전센터,,20110612,142300,20110612,142351,20110612,142543,20110612,150024,20110612,50024,20110612,183024,3441,33000,13,13,0,삼척시,마평동,사유림,임야,산정상,미상,미상,53,57,맑음,19,75,0,4,
31,0,0,춘천소방서,석사119안전센터,동산119지역대,20110615,122100,20110615,122153,20110615,122453,20110615,122853,20110615,125053,20110615,130053,400,3200,25,20,5,춘천시,동산면,공유림,임야,산정상,미상,미상,68,7,맑음,31,29,315,4,
32,0,0,춘천소방서,양구119안전센터,남면119지역대,20110620,190000,20110620,190026,20110620,190140,20110620,192052,20110620,83005,20110620,204005,1912,11913,50,10,15,양구군,남면,국유림,임야,산중턱,미상,미상,28,4,맑음,23,70,135,4,
33,0,79,춘천소방서,화천119안전센터,,20111006,181300,20111006,181356,20111006,181510,20111006,183610,20111006,72010,20111006,192010,2100,4400,57,21,41,화천군,화천읍,사유림,임야,산정상,담뱃불,부주의,70,3,맑음,18,34,225,4,
34,0,1373,홍천소방서,양덕원119안전센터,,20111007,143600,20111007,143620,20111007,143802,20111007,145029,20111007,40809,20111007,162831,1227,13802,18,18,0,홍천군,남면,공유림,임야,산정상,담뱃불,부주의,58,6,맑음,21,31,225,,
35,0,0,홍천소방서,양덕원119안전센터,,20111008,125500,20111008,125536,20111008,125600,20111008,130223,20111008,22503,20111008,145400,623,15137,18,18,0,홍천군,남면,공유림,임야,산정상,기타,부주의,59,7,맑음,20,34,315,4,
36,0,0,춘천소방서,화천119안전센터,,20111013,145400,20111013,145450,20111013,145735,20111013,151700,20111013,35000,20111013,155000,1925,3300,20,20,0,춘천시,사북면,국유림,임야,산정상,미상,미상,34,5,맑음,16,79,0,4,
37,0,0,인제소방서,인제119안전센터,,20111017,144100,20111017,144118,20111017,144558,20111017,150358,20111017,43058,20111017,163058,1800,12700,73,17,0,인제군,인제읍,국유림,임야,산정상,미상,미상,44,6,맑음,14,19,180,4,
38,0,0,춘천소방서,양구119안전센터,남면119지역대,20111027,74700,20111027,74710,20111027,74836,20111027,75309,20111027,83557,20111027,84032,433,4723,44,5,5,양구군,남면,국유림,임야,산중턱,군경사격장,부주의,45,4,맑음,8,30,90,4,
39,0,0,철원소방서,태봉119안전센터,군탄119지역대,20111028,122700,20111028,122700,20111028,122743,20111028,123943,20111028,24243,20111028,152043,1200,24100,16,16,8,철원군,갈말읍,국유림,임야,산중턱,군경사격장,기타,217,8,맑음,15,60,45,4,
40,0,0,철원소방서,김화119안전센터,,20111031,141100,20111031,141104,20111031,141211,20111031,144930,20111031,25010,20111031,145310,3719,340,28,15,0,철원군,근남면,국유림,임야,산중턱,담뱃불,부주의,45,9,맑음,18,42,270,4,
41,0,0,춘천소방서,화천119안전센터,,20111101,151900,20111101,151925,20111101,152318,20111101,155255,20111101,45522,20111101,165555,2937,10300,57,22,0,화천군,화천읍,사유림,임야,산중턱,담뱃불,부주의,299,12,구름조금,14,63,135,4,
42,0,0,춘천소방서,양구119안전센터,남면119지역대,20111101,195200,20111101,195243,20111101,195351,20111101,200750,20111101,80820,20111101,200851,1359,101,55,5,9,양구군,남면,국유림,임야,산중턱,군경사격장,부주의,14,2,맑음,0,0,0,4,
43,0,0,고성소방서,동광119안전센터,,20111115,100000,20111115,100036,20111115,100051,20111115,101251,20111115,103051,20111115,110551,1200,5300,23,13,0,고성군,죽왕면,국유림,임야,산정상,군경사격장,화학적요인,57,11,맑음,10,23,315,4,
44,0,0,양양소방서,양양119안전센터,,20111115,153400,20111115,153432,20111115,153445,20111115,153920,20111115,34220,20111115,155020,435,1100,20,7,0,양양군,양양읍,사유림,임야,산중턱,쓰레기소각장,부주의,76,12,맑음,11,32,0,,
45,0,0,인제소방서,인제119안전센터,,20111120,213000,20111120,213022,20111120,213144,20111120,213945,20111121,124310,20111121,15032,801,41047,72,12,0,인제군,인제읍,국유림,임야,산아래,입산자실화,미상,85,5,맑음,-1,29,180,4,
46,0,0,원주소방서,태장119안전센터,,20111129,160200,20111129,160250,20111129,160613,20111129,163310,20111129,44030,20111129,165131,2657,1821,15,6,0,원주시,소초면,공유림,임야,산정상,미상,미상,65,8,구름많음,13,77,45,4,
47,0,0,강릉소방서,옥계119안전센터,,20111208,104900,20111208,104926,20111208,105000,20111208,110100,20111208,113000,20111208,113800,1100,3700,26,8,6,강릉시,강동면,국유림,임야,산아래,군경사격장,부주의,212,13,맑음,8,28,315,4,
48,0,0,춘천소방서,강촌119안전센터,,20111214,141800,20111214,141819,20111214,141940,20111214,143517,20111214,23517,20111214,143517,1537,0,20,6,0,춘천시,남산면,사유림,임야,산아래,기타,부주의,39,7,흐림,2,61,45,4,
49,0,0,속초소방서,노학119안전센터,,20111224,230600,20111224,230621,20111224,230625,20111224,231004,20111224,111504,20111224,232604,339,1600,4,4,0,속초시,영랑동,공유림,임야,산정상,입산자실화,부주의,15,4,맑음,-6,27,225,8,
50,0,0,고성소방서,간성119안전센터,,20111227,140900,20111227,140950,20111227,140955,20111227,141714,20111227,23214,20111227,145814,719,4100,49,13,0,고성군,간성읍,국유림,임야,산정상,군경사격장,화학적요인,108,11,맑음,0,0,0,,
51,0,4209,홍천소방서,홍천119안전센터,,20111228,20200,20111228,20231,20111228,20611,20111228,21313,20111228,83039,20111228,103038,702,81725,8,8,0,홍천군,홍천읍,국유림,임야,산정상,입산자실화,부주의,111,13,맑음,-10,73,45,4,
52,0,0,원주소방서,단구119안전센터,,20111231,163600,20111231,163626,20111231,163758,20111231,164310,20111231,64322,20111231,200022,512,31712,6,4,0,원주시,행구동,국유림,임야,산중턱,담뱃불,부주의,68,3,맑음,-6,40,0,,
1,0,0,홍천소방서,홍천119안전센터,동면119지역대,20120111,113700,20120111,113748,20120111,113904,20120111,114912,20120111,115657,20120111,123609,1008,4657,11,11,6,홍천군,동면,국유림,임야,산아래,담뱃불,부주의,475,12,맑음,-3,39,270,4,
2,0,2176,홍천소방서,홍천119안전센터,,20120111,150600,20120111,150629,20120111,150743,20120111,151251,20120111,34851,20120111,165051,508,13800,6,6,0,홍천군,홍천읍,국유림,임야,산정상,입산자실화,부주의,72,14,맑음,-1,22,315,4,
3,0,0,강릉소방서,주문진119안전센터,,20120113,120000,20120113,120052,20120113,120200,20120113,120600,20120113,121400,20120113,121700,400,1100,18,3,0,강릉시,주문진읍,사유림,임야,산아래,담뱃불,부주의,32,6,맑음,5,37,225,4,건조주의보
4,0,0,홍천소방서,홍천119안전센터,화촌119지역대,20120116,120900,20120116,120921,20120116,120956,20120116,121320,20120116,122738,20120116,123933,324,2613,13,13,1,홍천군,화촌면,국유림,임야,산아래,입산자실화,부주의,65,22,맑음,0,0,,,
5,0,78,춘천소방서,양구119안전센터,남면119지역대,20120124,111500,20120124,111536,20120124,111645,20120124,113355,20120124,114249,20120124,114249,1710,854,57,15,10,양구군,남면,국유림,임야,산아래,쓰레기소각장,부주의,33,2,맑음,-6,23,225,4,
6,0,0,강릉소방서,경포119안전센터,,20120126,235600,20120126,235615,20120126,235741,20120127,10000,20120127,122500,20120127,3000,1219,2000,12,10,0,강릉시,사천면,사유림,임야,산중턱,담뱃불,부주의,30,11,맑음,-4,56,180,4,건조주의보
7,0,0,횡성소방서,우천119안전센터,,20120129,171300,20120129,171352,20120129,171432,20120129,173132,20120129,53149,20120129,173149,1700,17,9,6,0,횡성군,우천면,사유림,임야,산아래,담뱃불,부주의,11,5,구름조금,0,16,225,4,
8,0,2900,고성소방서,거진119안전센터,,20120205,160500,20120205,160530,20120205,160608,20120205,161020,20120205,44902,20120205,165202,412,4142,40,4,0,고성군,거진읍,사유림,임야,산정상,입산자실화,부주의,68,12,맑음,6,29,135,4,건조주의보
9,0,0,홍천소방서,홍천119안전센터,북방119지역대,20120210,162100,20120210,162112,20120210,162313,20120210,162557,20120210,54540,20120210,180740,244,14143,8,8,3,홍천군,북방면,국유림,임야,산정상,입산자실화,부주의,127,10,구름많음,1,33,225,4,
10,0,0,인제소방서,원통119안전센터,서화119지역대,20120215,100400,20120215,100446,20120215,100714,20120215,102000,20120215,23000,20120215,150000,1246,44000,85,25,10,인제군,서화면,국유림,임야,산중턱,군경사격장,기타,65,15,맑음,5,18,180,4,
11,0,0,삼척소방서,도계119안전센터,하장119지역대,20120219,190300,20120219,190300,20120219,190448,20120219,193548,20120219,73548,20120219,215248,3100,21700,51,42,17,삼척시,하장면,사유림,임야,산아래,논/밭두렁,부주의,58,9,맑음,-5,25,270,4,
12,0,0,인제소방서,인제119안전센터,남면119지역대,20120222,103800,20120222,103849,20120222,103900,20120222,105500,20120222,112013,20120222,113000,1600,3500,45,30,12,인제군,남면,국유림,임야,산정상,미상,기타,52,5,맑음,6,67,315,4,
13,0,0,춘천소방서,강촌119안전센터,,20120228,120400,20120228,120447,20120228,120643,20120228,121000,20120228,123727,20120228,125400,317,4400,20,2,0,춘천시,남산면,사유림,임야,평지,미상,미상,61,10,구름조금,2,30,135,4,
14,0,0,춘천소방서,양구119안전센터,동면119지역대,20120228,143700,20120228,143725,20120228,143817,20120228,144529,20120228,30427,20120228,151800,712,3231,63,18,5,양구군,동면,사유림,임야,산아래,성묘객,부주의,113,28,맑음,6,48,90,4,
15,0,880,홍천소방서,양덕원119안전센터,서면119지역대,20120228,170300,20120228,170353,20120228,170501,20120228,171849,20120228,54134,20120228,174134,1348,2245,39,22,10,홍천군,서면,사유림,임야,산아래,기타,부주의,53,5,맑음,6,52,315,4,
16,0,0,춘천소방서,강촌119안전센터,,20120304,235200,20120304,235245,20120304,235324,20120305,2024,20120305,24024,20120305,31424,2700,25400,25,5,0,춘천시,서면,사유림,임야,산정상,미상,미상,80,2,흐림,2,69,45,4,
17,0,0,양양소방서,양양119안전센터,,20120308,161700,20120308,161712,20120308,161751,20120308,162151,20120308,42551,20120308,163051,400,900,25,5,0,양양군,서면,사유림,임야,산아래,논/밭두렁,부주의,27,9,맑음,6,40,0,12,
18,0,0,고성소방서,동광119안전센터,,20120327,103500,20120327,103516,20120327,103739,20120327,104539,20120327,104839,20120327,105639,800,1100,5,5,0,고성군,토성면,국유림,임야,산아래,기타,부주의,32,10,맑음,11,9,45,4,
19,0,0,춘천소방서,효자119안전센터,,20120401,202500,20120401,202555,20120401,202656,20120401,203844,20120401,95241,20120401,221544,1148,13700,14,11,0,춘천시,칠전동,국유림,임야,산중턱,미상,미상,112,8,맑음,8,24,225,4,
20,1,0,속초소방서,노학119안전센터,,20120408,134000,20120408,134038,20120408,134142,20120408,135225,20120408,20042,20120408,140142,1043,917,5,2,0,속초시,조양동,공유림,임야,산정상,입산자실화,부주의,56,16,맑음,21,14,225,12,
21,0,0,춘천소방서,화천119안전센터,,20120409,152300,20120409,152311,20120409,152409,20120409,160409,20120409,61009,20120409,185209,4000,24800,60,28,40,화천군,화천읍,국유림,임야,산정상,미상,미상,41,1,맑음,17,29,135,4,
22,0,0,평창소방서,진부119안전센터,,20120410,110600,20120410,110657,20120410,110732,20120410,112018,20120410,113518,20120410,115843,1246,3825,61,6,0,평창군,진부면,사유림,임야,산아래,미상,미상,25,7,맑음,17,38,90,8,
23,0,55,평창소방서,진부119안전센터,,20120415,151400,20120415,151409,20120415,151445,20120415,152849,20120415,40348,20120415,170451,1404,13602,50,5,0,평창군,진부면,사유림,임야,산아래,미상,미상,80,17,맑음,14,75,0,8,
24,0,0,삼척소방서,도계119안전센터,,20120415,201700,20120415,201733,20120415,201918,20120415,203218,20120415,85018,20120415,213018,1300,5800,40,10,0,삼척시,도계읍,국유림,임야,산중턱,기타,전기적요인,85,14,맑음,18,30,270,8,
25,0,0,철원소방서,태봉119안전센터,,20120418,160200,20120418,160244,20120418,160402,20120418,160902,20120418,42502,20120418,164402,500,3500,4,4,3,철원군,갈말읍,사유림,임야,산아래,입산자실화,미상,76,8,맑음,13,71,90,17,
26,0,7169,홍천소방서,홍천119안전센터,화촌119지역대,20120419,141200,20120419,141234,20120419,141419,20120419,143816,20120419,110000,20120420,191323,2357,43507,15,15,10,홍천군,화촌면,국유림,임야,산중턱,입산자실화,부주의,1264,72,맑음,14,56,90,8,
27,0,0,횡성소방서,둔내119안전센터,,20120419,145800,20120419,145824,20120419,145952,20120419,151206,20120419,72632,20120419,192633,1214,41427,30,30,7,횡성군,청일면,사유림,임야,산정상,미상,미상,289,20,구름많음,17,57,90,4,
28,0,0,횡성소방서,둔내119안전센터,,20120420,33100,20120420,33144,20120420,33417,20120420,35121,20120420,64656,20120420,64657,1704,25536,26,26,5,횡성군,청일면,사유림,임야,산중턱,미상,미상,115,14,흐림,12,71,90,4,
29,0,0,횡성소방서,둔내119안전센터,청일지역대,20120420,125100,20120420,125119,20120420,125301,20120420,130802,20120420,14412,20120420,134834,1501,4032,25,13,4,횡성군,청일면,사유림,임야,산정상,기타,기타,58,12,구름많음,22,33,180,4,
30,0,9,영월소방서,주천119안전센터,,20120420,175000,20120420,175030,20120420,175234,20120420,180200,20120420,63500,20120420,184142,926,3942,31,5,0,영월군,주천면,사유림,임야,산아래,쓰레기소각장,부주의,106,7,구름많음,19,40,135,4,
31,0,0,동해소방서,북평119안전센터,,20120424,142700,20120424,142713,20120424,142932,20120424,143552,20120424,25052,20120424,151652,620,4100,15,7,0,동해시,쇄운동,사유림,임야,산중턱,담뱃불,부주의,92,18,맑음,23,37,90,4,
32,0,0,인제소방서,원통119안전센터,서화119지역대,20120427,100600,20120427,100648,20120427,100935,20120427,104200,20120427,51300,20120427,171300,3225,63100,0,45,20,인제군,서화면,국유림,임야,산정상,군경사격장,기타,26,13,맑음,19,38,45,12,
33,0,0,인제소방서,기린119안전센터,상남119지역대,20120429,180200,20120429,180251,20120429,180330,20120429,181931,20120429,64118,20120429,192813,1601,10842,56,39,6,인제군,상남면,국유림,임야,산정상,미상,기타,153,13,맑음,25,30,180,4,
34,0,0,춘천소방서,석사119안전센터,동산119지역대,20120430,101200,20120430,101201,20120430,101647,20120430,103908,20120430,112601,20120430,113542,2221,5634,24,19,0,춘천시,동산면,사유림,임야,산정상,입산자실화,부주의,155,12,맑음,19,56,315,4,
35,0,0,원주소방서,신림119안전센터,,20120430,120800,20120430,120817,20120430,121011,20120430,122225,20120430,10055,20120430,131055,1214,4830,13,6,0,원주시,판부면,공유림,임야,산중턱,담뱃불,부주의,26,8,맑음,18,59,45,4,
36,0,0,원주소방서,태장119안전센터,소초119지역대,20120430,154300,20120430,154341,20120430,154430,20120430,155011,20120430,42011,20120430,163011,541,4000,10,5,5,원주시,소초면,사유림,임야,산아래,미상,미상,60,8,맑음,21,37,90,8,
37,0,0,삼척소방서,원덕119안전센터,가곡119지역대,20120501,135100,20120501,135128,20120501,135352,20120501,141052,20120501,25052,20120501,155052,1700,14000,57,20,10,삼척시,가곡면,국유림,임야,산정상,기타,부주의,146,15,맑음,16,68,45,8,
38,0,0,춘천소방서,화천119안전센터,,20120506,123500,20120506,123530,20120506,123650,20120506,131300,20120506,15250,20120506,150550,3610,15250,45,15,32,화천군,화천읍,국유림,임야,산아래,논/밭두렁,부주의,125,11,맑음,19,15,90,12,
39,0,0,원주소방서,태장119안전센터,,20120506,135200,20120506,135203,20120506,135434,20120506,141831,20120506,23350,20120506,145050,2357,3219,19,12,0,원주시,호저면,사유림,임야,산중턱,미상,미상,67,7,맑음,19,15,90,12,
40,0,0,홍천소방서,홍천119안전센터,화촌119지역대,20120506,144800,20120506,144854,20120506,145032,20120506,151631,20120506,33537,20120506,153537,2559,1906,23,23,18,홍천군,화촌면,국유림,임야,산아래,담뱃불,부주의,28,10,맑음,24,12,225,8,
41,0,0,철원소방서,태봉119안전센터,,20120507,144500,20120507,144527,20120507,144727,20120507,151327,20120507,32527,20120507,153727,2600,2400,8,8,0,철원군,갈말읍,공유림,임야,산중턱,미상,미상,50,6,맑음,24,20,225,4,
42,0,0,평창소방서,봉평119안전센터,,20120507,153200,20120507,153218,20120507,153312,20120507,155958,20120507,43850,20120507,185121,2646,25123,45,12,0,평창군,봉평면,사유림,임야,산중턱,미상,미상,140,14,맑음,22,10,90,8,
43,0,0,춘천소방서,양구119안전센터,해안119지역대,20120508,130600,20120508,130600,20120508,130600,20120508,132447,20120508,34853,20120508,175148,1847,42701,75,33,5,양구군,해안면,국유림,임야,미상,미상,미상,51,5,맑음,21,52,135,4,
44,0,0,홍천소방서,양덕원119안전센터,,20120511,85500,20120511,85522,20120511,85707,20120511,90709,20120511,91618,20120511,91618,1002,909,20,5,0,홍천군,남면,국유림,임야,산정상,기타,기타,41,4,비,11,92,270,4,
45,0,0,원주소방서,태장119안전센터,,20120519,140800,20120519,140853,20120519,140958,20120519,144321,20120519,33452,20120519,164304,3323,15943,15,6,0,원주시,소초면,사유림,임야,산정상,모닥불,부주의,43,4,맑음,22,44,90,4,
46,0,0,춘천소방서,화천119안전센터,,20120523,53400,20120523,53444,20120523,53656,20120523,55012,20120523,73000,20120523,75300,1316,20248,45,15,15,화천군,상서면,국유림,임야,산정상,담뱃불,부주의,36,7,맑음,15,79,45,4,
47,0,0,철원소방서,태봉119안전센터,군탄119지역대,20120525,21100,20120525,21105,20120525,21132,20120525,22459,20120525,53009,20120525,54009,1327,31510,20,20,12,철원군,갈말읍,국유림,임야,산중턱,기타,부주의,70,6,맑음,17,60,180,4,
48,0,0,양양소방서,양양119안전센터,,20120526,114700,20120526,114702,20120526,114937,20120526,120337,20120526,120537,20120526,120937,1400,600,11,9,0,양양군,강현면,공유림,임야,평지,논/밭두렁,부주의,16,6,맑음,25,16,90,8,
49,0,0,평창소방서,평창119안전센터,,20120526,151700,20120526,151720,20120526,151754,20120526,160439,20120526,53716,20120526,173716,4645,13237,16,16,1,평창군,미탄면,공유림,임야,산중턱,담뱃불,부주의,84,20,맑음,23,15,90,12,
50,0,0,영월소방서,영월119안전센터,북면119지역대,20120527,140500,20120527,140552,20120527,140733,20120527,142331,20120527,33721,20120527,153721,1558,11350,12,12,1,영월군,북면,국유림,임야,산정상,기타,자연적인요인,19,5,비,18,62,270,8,
51,0,0,영월소방서,영월119안전센터,북면119지역대,20120527,140800,20120527,140833,20120527,140912,20120527,142331,20120527,33721,20120527,153721,1419,11350,13,13,1,영월군,북면,국유림,임야,산정상,기타,자연적인요인,33,5,비,18,62,270,8,
52,0,0,영월소방서,영월119안전센터,남면119지역대,20120527,141000,20120527,141047,20120527,141308,20120527,142523,20120527,33721,20120527,153721,1215,11158,11,11,4,영월군,남면,사유림,임야,산정상,기타,자연적인요인,19,6,비,18,62,270,8,
53,0,0,홍천소방서,서석119안전센터,,20120527,144000,20120527,144037,20120527,144157,20120527,150618,20120527,40016,20120527,163257,2421,12639,33,5,0,홍천군,서석면,사유림,임야,산중턱,기타,기타,7,4,비,18,80,225,4,
54,0,0,홍천소방서,홍천119안전센터,화촌119지역대,20120527,161100,20120527,161118,20120527,161230,20120527,163733,20120527,55257,20120527,175257,2503,11524,35,35,25,홍천군,화촌면,국유림,임야,산중턱,기타,자연적인요인,32,4,흐림,21,68,225,4,
55,0,0,삼척소방서,봉황119안전센터,미로119지역대,20120527,173100,20120527,173144,20120527,173227,20120527,174027,20120527,75027,20120527,202027,800,24000,16,16,8,삼척시,미로면,국유림,임야,산정상,미상,미상,72,7,소나기,22,25,270,8,
56,0,90,홍천소방서,홍천119안전센터,동면119지역대,20120528,102000,20120528,102006,20120528,102150,20120528,104545,20120528,121926,20120528,121926,2355,13341,7,7,9,홍천군,동면,사유림,임야,산정상,기타,자연적인요인,65,6,맑음,22,55,45,4,
57,0,0,정선소방서,임계119안전센터,여량면119지역대,20120528,120900,20120528,120939,20120528,121005,20120528,122005,20120528,14405,20120528,142905,1000,20900,23,13,10,정선군,여량면,국유림,임야,산정상,미상,미상,58,7,맑음,15,82,135,8,
58,0,0,정선소방서,조양119안전센터,북평119지역대,20120528,125000,20120528,125016,20120528,125139,20120528,132039,20120528,20939,20120528,142939,2900,10900,16,16,8,정선군,북평면,사유림,임야,산정상,미상,미상,49,7,맑음,25,75,90,4,
59,0,0,원주소방서,문막119안전센터,부론119지역대,20120529,110800,20120529,110838,20120529,111130,20120529,115753,20120529,121906,20120529,125251,4623,5458,35,10,0,원주시,부론면,공유림,임야,산정상,미상,미상,38,3,구름많음,18,80,0,4,
